property_id,address,suburb,property_type,bedrooms,bathrooms,car_spaces,sale_date,sale_price,split
SYD001,25/8-10 Fourth Avenue,Blacktown,Apartment,2,1,1.0,2026-09-16,415000,development
SYD002,17 st pauls way,Blacktown,Townhouse,3,2,1.0,2026-09-15,828000,development
SYD003,3/130 Newton Road,Blacktown,Townhouse,2,1,1.0,2026-09-14,700000,development
SYD004,4 &4 A Joseph Street,Blacktown,House,5,2,5.0,2026-09-14,1340000,development
SYD005,3/28 Frederick Street,Blacktown,Townhouse,2,1,1.0,2026-09-14,732500,development
SYD006,42 Burke Street,Blacktown,House,5,3,6.0,2026-09-11,1260000,holdout
SYD007,20/5-9 Fourth Avenue,Blacktown,Apartment,2,1,1.0,2026-09-10,441000,development
SYD008,36/2-4 Fourth Avenue,Blacktown,Apartment,2,1,1.0,2026-09-10,415000,development
SYD009,13/8-18 Wallace Street,Blacktown,Apartment,2,2,1.0,2026-09-09,463000,development
SYD010,9 Cardiff Street,Blacktown,House,5,2,2.0,2026-09-08,1089000,development
SYD011,52 Balmoral Street,Blacktown,House,4,1,1.0,2026-09-08,1300000,development
SYD012,9 Kirkman Road,Blacktown,House,4,1,2.0,2026-09-03,1070000,development
SYD013,11/130 Main Street,Blacktown,Apartment,1,1,1.0,2026-09-02,375000,development
SYD014,17 Carinya Street,Blacktown,House,3,1,1.0,2026-09-01,1600000,development
SYD015,1103/5 Second Avenue,Blacktown,Apartment,2,2,1.0,2026-09-01,420000,development
SYD016,38-38A Burrell Parade,Blacktown,House,5,3,4.0,2026-08-28,1480000,development
SYD017,73/31 Third Avenue,Blacktown,Apartment,2,2,1.0,2026-08-26,452000,development
SYD018,39 Burke Street,Blacktown,House,5,3,2.0,2026-08-26,1500000,development
SYD019,19 Stephen Street,Blacktown,House,3,1,1.0,2026-08-26,1062500,development
SYD020,7/45 Lyton Street,Blacktown,Townhouse,2,2,1.0,2026-08-25,805000,development
SYD021,13 Lancaster Street,Blacktown,House,7,4,6.0,2026-08-22,1900000,development
SYD022,17/3-5 BRUCE STREET,Blacktown,Apartment,2,2,1.0,2026-08-21,481000,development
SYD023,79/21-29 Third Avenue,Blacktown,Apartment,2,2,1.0,2026-08-21,435000,development
SYD024,6 Garden Street,Blacktown,House,4,2,6.0,2026-08-20,1235000,development
SYD025,41/25 Mantaka Street,Blacktown,Apartment,2,1,1.0,2026-08-20,435000,development
SYD026,41 Dagmar Crescent,Blacktown,House,3,1,2.0,2026-08-18,880000,holdout
SYD027,94 Lancelot Street,Blacktown,House,3,1,1.0,2026-08-18,950000,development
SYD028,69/25 Mantaka Street,Blacktown,Apartment,2,1,1.0,2026-08-17,419000,development
SYD029,41 Anthony Street,Blacktown,House,3,1,1.0,2026-08-17,910000,development
SYD030,36/130 Main Street,Blacktown,Apartment,2,2,1.0,2026-08-17,443000,development
SYD031,45 & 45a Dina Beth Avenue,Blacktown,House,5,2,4.0,2026-08-14,1250000,holdout
SYD032,2/31 Third Avenue,Blacktown,Apartment,1,1,1.0,2026-08-13,380000,development
SYD033,28 Eggleton Street,Blacktown,House,3,1,2.0,2026-08-13,1263000,development
SYD034,12 Glamorgan Street,Blacktown,House,3,1,1.0,2026-08-11,1030000,development
SYD035,2/16 Betts Street,Parramatta,Apartment,2,1,1.0,2026-09-12,660000,development
SYD036,1404/1-3 Valentine Avenue,Parramatta,Apartment,1,1,,2026-09-11,320000,development
SYD037,33/68 Great Western Highway,Parramatta,Apartment,2,1,1.0,2026-09-11,520000,development
SYD038,505/23 Hassall Street,Parramatta,Apartment,2,2,1.0,2026-09-09,660000,development
SYD039,89/459-463 Church Street,Parramatta,Apartment,2,2,1.0,2026-09-04,580000,development
SYD040,8/64-66 Great Western Highway,Parramatta,Apartment,1,1,1.0,2026-09-04,425000,development
SYD041,1702/45 Macquarie Street,Parramatta,Apartment,2,2,1.0,2026-09-04,705000,development
SYD042,10/4 Peace Lane,Parramatta,Apartment,2,2,1.0,2026-09-03,570000,holdout
SYD043,9/178 George Street,Parramatta,Apartment,1,1,,2026-09-01,490000,development
SYD044,3/23 Good Street,Parramatta,Apartment,2,1,1.0,2026-08-31,569000,development
SYD045,401/6 River Road West,Parramatta,Apartment,2,2,1.0,2026-08-30,540000,development
SYD046,1403/1-3 Valentine Avenue,Parramatta,Apartment,1,1,1.0,2026-08-28,355000,development
SYD047,1201/45 Macquarie Street,Parramatta,Apartment,1,1,1.0,2026-08-28,566000,development
SYD048,5/30-32 Queens Avenue,Parramatta,Apartment,2,1,1.0,2026-08-28,680000,holdout
SYD049,11/32 Hassall Street,Parramatta,Apartment,2,2,1.0,2026-08-28,590000,development
SYD050,C26/88-98 Marsden Street,Parramatta,Apartment,2,2,1.0,2026-08-27,552000,development
SYD051,15/1 Good Street,Parramatta,Apartment,2,1,1.0,2026-08-27,480000,development
SYD052,1417/32 Hunter Street (AKA 1417/45 Macquarie St),Parramatta,Apartment,1,1,1.0,2026-08-25,560000,holdout
SYD053,907/6-10 Charles Street,Parramatta,Apartment,3,2,1.0,2026-08-25,720000,development
SYD054,16L/15 Campbell Street,Parramatta,Apartment,1,1,1.0,2026-08-25,405000,development
SYD055,D603/1 Broughton Street,Parramatta,Apartment,2,2,1.0,2026-08-25,680000,development
SYD056,805/21 Hassall Street,Parramatta,Apartment,1,1,,2026-08-24,410000,development
SYD057,108/125-129 Arthur Street,Parramatta,Apartment,2,1,1.0,2026-08-21,653000,development
SYD058,219/88 Church Street,Parramatta,Apartment,1,1,1.0,2026-08-21,600000,development
SYD059,41/3 Good Street,Parramatta,Apartment,2,2,1.0,2026-08-21,641000,development
SYD060,1502/88 Church Street,Parramatta,Apartment,2,2,1.0,2026-08-21,800000,development
SYD061,11/22-24 Tennyson Street,Parramatta,Apartment,2,2,1.0,2026-08-17,650000,development
SYD062,721/1-3 Valentine Avenue,Parramatta,Apartment,0,1,,2026-08-17,250000,development
SYD063,138 Railway St,Parramatta,Townhouse,2,1,1.0,2026-08-14,685000,development
SYD064,53/20 Victoria Road,Parramatta,Apartment,2,2,1.0,2026-08-13,640000,development
SYD065,5/5 Thomas Street,Parramatta,Apartment,2,1,1.0,2026-08-12,530000,development
SYD066,2/1-7 Bobart Street,Parramatta,Townhouse,2,1,1.0,2026-08-12,780000,development
SYD067,3637/180 George Street,Parramatta,Apartment,1,1,,2026-08-12,623000,development
SYD068,8/6 Punch Street,Mosman,Apartment,1,1,,2026-07-09,700000,development
SYD069,13/6 McLeod Street,Mosman,Apartment,1,1,,2026-07-09,762000,development
SYD070,20/96 Ourimbah Road,Mosman,Apartment,2,1,1.0,2026-07-07,1030000,development
SYD071,4/125 Raglan Street,Mosman,Apartment,2,1,,2026-07-07,990000,development
SYD072,22/43 Musgrave Street,Mosman,Apartment,2,1,1.0,2026-07-03,1310000,development
SYD073,22/96 Ourimbah Road,Mosman,Apartment,2,1,1.0,2026-07-03,1025000,development
SYD074,3 Gordon Street,Mosman,House,5,2,2.0,2026-07-02,7650000,development
SYD075,67 Cowles Road,Mosman,House,4,2,,2026-07-02,3225000,development
SYD076,36 Lang Street,Mosman,House,3,2,1.0,2026-07-02,2865000,development
SYD077,21 Morella Road,Mosman,House,4,4,2.0,2026-07-01,11650000,development
SYD078,31/2B Brady Street,Mosman,Apartment,3,2,2.0,2026-06-29,1925000,development
SYD079,9/6 Avenue Road,Mosman,Apartment,0,1,1.0,2026-06-26,610000,development
SYD080,2/60A Raglan Street,Mosman,Apartment,2,1,1.0,2026-06-26,1175000,development
SYD081,2/81A Glover Street,Mosman,Apartment,2,2,1.0,2026-06-25,1440000,holdout
SYD082,3/13 Wyong Road,Mosman,Apartment,2,2,1.0,2026-06-22,1750000,development
SYD083,17 Avenue Road,Mosman,House,5,3,2.0,2026-06-19,5450000,development
SYD084,2/63 Muston Street,Mosman,Apartment,4,3,3.0,2026-06-18,6000000,development
SYD085,2/184 Raglan Street,Mosman,Apartment,2,1,1.0,2026-06-17,1237500,development
SYD086,5B/699 Military Road,Mosman,Apartment,2,1,1.0,2026-06-17,1450000,development
SYD087,15/3 Belmont Road,Mosman,Apartment,2,2,1.0,2026-06-12,1760000,development
SYD088,16/5 The Esplanade,Mosman,Apartment,1,1,1.0,2026-06-06,1570000,holdout
SYD089,1/10 Lang Street,Mosman,House,4,2,1.0,2026-06-06,3200000,development
SYD090,14 Almora Street,Mosman,House,3,3,2.0,2026-06-06,5025000,holdout
SYD091,1/30 Hale Road,Mosman,Townhouse,3,2,2.0,2026-06-05,2180000,development
SYD092,2 Morella Road,Mosman,House,5,4,4.0,2026-06-05,7360000,development
SYD093,21/96 Ourimbah Road,Mosman,Apartment,2,1,1.0,2026-06-05,900000,development
SYD094,105 Holt Avenue,Mosman,House,4,3,,2026-06-05,3550000,development
SYD095,10/116 Belmont Road,Mosman,Townhouse,3,2,2.0,2026-06-05,2380000,development
SYD096,9/238 Raglan Street,Mosman,Apartment,2,1,1.0,2026-06-04,1590000,development
SYD097,10/1 Hampden Street,Mosman,Apartment,1,1,1.0,2026-06-04,825000,development
SYD098,11 Euryalus Street,Mosman,House,6,4,3.0,2026-06-04,7260000,holdout
SYD099,3/1A Oswald Street,Mosman,Apartment,2,1,,2026-06-04,1140000,development
